date,open,close,high,low,vol,amt,amp,pct,chg,turnover,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-06-11,134.15,134.15,134.194,134.114,26420.0,359971961.0,0.06,0.0,0.0,10.58,0.0,0.0007,0.004,88.1598,0.1919,0.1758,0.0161,0.0082,31302.4,0.844
2024-06-12,134.139,134.132,134.18,134.107,25551.0,348113356.0,0.05,-0.01,-0.018,10.23,-0.0001,0.0003,0.0033,84.7201,0.1888,0.1784,0.0104,0.0081,29256.4,0.8733
2024-06-13,134.134,134.145,134.173,134.133,28111.0,383015862.0,0.03,0.01,0.013,11.26,0.0001,0.0001,0.0034,82.5862,0.1853,0.1798,0.0055,0.0081,28250.2,0.9951
2024-06-14,134.161,134.166,134.175,134.129,33934.0,462389224.0,0.03,0.02,0.021,13.59,0.0002,0.0005,0.0041,83.1104,0.1822,0.1803,0.0019,0.0077,29362.8,1.1557
2024-06-17,134.168,134.223,134.224,134.167,27625.0,376491110.0,0.04,0.04,0.057,11.06,0.0004,0.0005,0.0052,89.211,0.1821,0.1806,0.0015,0.0069,28328.2,0.9752
2024-06-18,134.223,134.26,134.278,134.223,28487.0,388415339.0,0.04,0.03,0.037,11.41,0.0003,0.0008,0.0043,88.488,0.183,0.1811,0.0019,0.0059,28741.6,0.9911
2024-06-19,134.262,134.287,134.319,134.067,53157.0,724892385.0,0.19,0.02,0.027,21.28,0.0002,0.0012,0.005,87.5233,0.1837,0.1816,0.0021,0.0052,34262.8,1.5514
2024-06-20,134.372,134.402,134.406,134.32,30529.0,416635556.0,0.06,0.09,0.115,12.22,0.0009,0.0019,0.0055,88.8147,0.1914,0.1836,0.0078,0.0056,34746.4,0.8786
2024-06-21,134.405,134.333,134.405,134.288,29703.0,405267714.0,0.09,-0.05,-0.069,11.89,-0.0005,0.0012,0.0042,82.4806,0.1897,0.1848,0.0049,0.006,33900.2,0.8762
2024-06-24,134.333,134.416,134.421,134.227,28418.0,387723210.0,0.14,0.06,0.083,11.38,0.0006,0.0014,0.0048,80.7167,0.1929,0.1864,0.0064,0.0062,34058.8,0.8344
2024-06-25,134.411,134.458,134.516,134.41,38625.0,527605233.0,0.08,0.03,0.042,15.46,0.0003,0.0015,0.0054,81.0403,0.1965,0.1884,0.008,0.0059,36086.4,1.0703
2024-06-26,134.491,134.558,134.573,134.491,35230.0,481371445.0,0.06,0.07,0.1,14.11,0.0007,0.002,0.0056,82.8006,0.2051,0.1918,0.0133,0.006,32501.0,1.084
2024-06-27,134.57,134.699,134.708,134.57,31055.0,424762226.0,0.1,0.1,0.141,12.43,0.001,0.0022,0.0061,88.7306,0.2207,0.1975,0.0231,0.0066,32606.2,0.9524
2024-06-28,134.734,134.795,134.842,134.729,49050.0,671355110.0,0.08,0.07,0.096,19.64,0.0007,0.0034,0.0064,89.3773,0.2381,0.2056,0.0324,0.0067,36475.6,1.3447
2024-07-01,134.826,134.568,134.876,134.456,8915.0,121957868.0,0.31,-0.17,-0.227,3.57,-0.0017,0.0011,0.0049,69.9809,0.2309,0.2107,0.0202,0.0097,32575.0,0.2737
2024-07-02,134.535,134.691,134.694,134.227,34446.0,470877130.0,0.35,0.09,0.123,13.79,0.0009,0.0017,0.0047,74.2832,0.2324,0.215,0.0174,0.0095,31739.2,1.0853
2024-07-03,134.713,134.903,134.935,134.713,40451.0,553749871.0,0.16,0.16,0.212,16.2,0.0016,0.0026,0.0061,78.0741,0.2479,0.2216,0.0263,0.0106,32783.4,1.2339
2024-07-04,134.928,134.83,134.928,134.803,64538.0,883819042.0,0.09,-0.05,-0.073,25.84,-0.0005,0.001,0.0052,73.6805,0.2513,0.2275,0.0238,0.0111,39480.0,1.6347
2024-07-05,134.831,134.724,134.878,134.676,45067.0,616550151.0,0.15,-0.08,-0.106,18.04,-0.0008,-0.0005,0.0046,67.264,0.2427,0.2306,0.0122,0.0116,38683.4,1.165
2024-07-08,134.584,134.457,134.584,134.307,46433.0,633828016.0,0.21,-0.2,-0.267,18.59,-0.002,-0.0008,0.0023,55.8596,0.2119,0.2269,-0.0149,0.014,46187.0,1.0053
2024-07-09,134.531,134.625,134.628,134.531,34476.0,471260267.0,0.07,0.12,0.168,13.8,0.0012,-0.0005,0.0035,59.2755,0.1988,0.2212,-0.0225,0.0145,46193.0,0.7463
2024-07-10,134.625,134.711,134.718,134.575,40662.0,556048440.0,0.11,0.06,0.086,16.28,0.0006,-0.0014,0.0043,58.6168,0.1931,0.2156,-0.0225,0.0146,46235.2,0.8795
2024-07-11,134.71,134.704,134.721,134.624,44301.0,605995419.0,0.07,-0.01,-0.007,17.74,-0.0001,-0.0009,0.0042,60.7163,0.1859,0.2097,-0.0238,0.0146,42187.8,1.0501
2024-07-12,134.731,134.812,134.843,134.731,32251.0,441525725.0,0.08,0.08,0.108,12.91,0.0008,0.0007,0.0048,61.2756,0.1867,0.2051,-0.0184,0.0147,39624.6,0.8139
2024-07-15,134.826,134.864,134.88,134.812,34516.0,472735322.0,0.05,0.04,0.052,13.82,0.0004,0.003,0.0048,61.4949,0.1894,0.2019,-0.0126,0.0147,37241.2,0.9268
2024-07-16,134.866,134.863,134.89,134.759,32254.0,441735710.0,0.1,0.0,-0.001,12.91,-0.0,0.0018,0.0045,59.1482,0.1892,0.1994,-0.0102,0.0148,36796.8,0.8765
2024-07-17,134.867,134.895,134.925,134.836,38830.0,531856232.0,0.07,0.02,0.032,15.55,0.0002,0.0014,0.0045,56.2901,0.1895,0.1974,-0.0079,0.0148,36430.4,1.0659
2024-07-18,134.902,134.854,134.903,134.813,18601.0,254751432.0,0.07,-0.03,-0.041,7.45,-0.0003,0.0011,0.0034,51.9627,0.1843,0.1948,-0.0105,0.0147,31290.4,0.5945
2024-07-19,134.857,134.946,134.951,134.857,38215.0,523565601.0,0.07,0.07,0.092,15.3,0.0007,0.001,0.0046,63.8158,0.1855,0.1929,-0.0075,0.0146,32483.2,1.1765
2024-07-22,135.088,135.237,135.296,134.986,30731.0,421893553.0,0.23,0.22,0.291,12.3,0.0022,0.0028,0.0061,67.7734,0.2075,0.1958,0.0116,0.016,31726.2,0.9686
2024-07-23,135.36,135.382,135.386,135.259,45656.0,627477998.0,0.09,0.11,0.145,18.28,0.0011,0.0038,0.0069,66.3036,0.2339,0.2034,0.0305,0.0163,34406.6,1.327
2024-07-24,135.393,135.384,135.438,135.326,40589.0,557941088.0,0.08,0.0,0.002,16.25,0.0,0.0036,0.0061,69.814,0.2521,0.2132,0.0389,0.0162,34758.4,1.1677
2024-07-25,135.384,135.404,135.484,135.377,35684.0,490721426.0,0.08,0.01,0.02,14.29,0.0001,0.0041,0.0052,75.9146,0.2651,0.2236,0.0415,0.016,38175.0,0.9347
2024-07-26,135.42,135.463,135.477,135.399,18868.0,259492947.0,0.06,0.04,0.059,7.55,0.0004,0.0038,0.005,95.5616,0.277,0.2343,0.0427,0.0159,34305.6,0.55
2024-07-29,135.476,135.44,135.476,135.414,34882.0,479801006.0,0.05,-0.02,-0.023,13.97,-0.0002,0.0015,0.0065,92.4922,0.2813,0.2437,0.0376,0.0143,35135.8,0.9928
2024-07-30,135.445,135.46,135.492,135.4,38542.0,530140343.0,0.07,0.01,0.02,15.43,0.0001,0.0006,0.0057,91.9373,0.283,0.2515,0.0315,0.0142,33713.0,1.1432
2024-07-31,135.526,135.557,135.646,135.497,32067.0,441450945.0,0.11,0.07,0.097,12.84,0.0007,0.0013,0.0048,93.3876,0.2889,0.259,0.0299,0.0134,32008.6,1.0018
2024-08-01,135.65,135.783,135.896,135.546,24949.0,343700335.0,0.26,0.17,0.226,9.99,0.0017,0.0028,0.0071,94.0963,0.3083,0.2689,0.0394,0.014,29861.6,0.8355
2024-08-02,135.866,135.984,136.184,135.854,25648.0,354010935.0,0.24,0.15,0.201,10.27,0.0015,0.0038,0.0094,94.8,0.336,0.2823,0.0537,0.0139,31217.6,0.8216
2024-08-05,135.99,136.035,136.146,135.886,38029.0,525168199.0,0.19,0.04,0.051,15.23,0.0004,0.0044,0.0117,95.0769,0.3579,0.2974,0.0605,0.0105,31847.0,1.1941
2024-08-06,135.812,135.836,135.857,135.497,27544.0,379823604.0,0.26,-0.15,-0.199,11.03,-0.0015,0.0028,0.009,82.0723,0.3551,0.309,0.0462,0.0124,29647.4,0.9291
2024-08-07,135.83,136.027,136.106,135.83,39797.0,549421280.0,0.2,0.14,0.191,15.93,0.0014,0.0035,0.0098,86.2709,0.3641,0.32,0.0442,0.0129,31193.4,1.2758
2024-08-08,135.996,135.907,135.996,135.694,40429.0,557716555.0,0.22,-0.09,-0.12,16.19,-0.0009,0.0009,0.0089,79.2097,0.3575,0.3275,0.03,0.0136,34289.4,1.1791
2024-08-09,135.718,135.722,135.743,135.621,29740.0,409834442.0,0.09,-0.14,-0.185,11.91,-0.0014,-0.0019,0.0068,65.757,0.3334,0.3287,0.0048,0.015,35107.8,0.8471
2024-08-12,135.446,135.1,135.645,135.096,48832.0,670790971.0,0.4,-0.46,-0.622,19.55,-0.0046,-0.0069,0.0017,43.006,0.2612,0.3152,-0.054,0.023,37268.4,1.3103
2024-08-13,135.214,135.505,135.564,135.105,56401.0,775790600.0,0.34,0.3,0.405,22.58,0.003,-0.0024,0.0048,52.501,0.2339,0.2989,-0.065,0.0252,43039.8,1.3104
2024-08-14,135.654,135.632,135.885,135.579,36982.0,509655437.0,0.23,0.09,0.127,14.81,0.0009,-0.0029,0.0055,54.5131,0.22,0.2831,-0.0631,0.0253,42476.8,0.8706
2024-08-15,135.632,135.496,135.732,135.447,24381.0,335713097.0,0.21,-0.1,-0.136,9.76,-0.001,-0.003,0.0048,50.6339,0.1957,0.2657,-0.0699,0.0257,39267.2,0.6209
