date,open,close,high,low,vol,amt,amp,pct,chg,turnover
2024-09-26,106.495,106.461,106.53,106.458,31910,339816661.800,0.07,-0.01,-0.009,14.81
2024-09-27,106.411,106.244,106.411,106.239,10638,113113368.600,0.16,-0.2,-0.217,4.94
2024-09-30,106.159,106.138,106.159,105.3,13788,146039936.802,0.81,-0.1,-0.106,6.40
2024-10-08,106.157,106.035,106.157,105.208,23910,253337444.099,0.89,-0.1,-0.103,11.10
2024-10-09,106.044,106.019,106.138,105.948,12939,137143637.200,0.18,-0.02,-0.016,6.01
2024-10-10,106.08,106.196,106.198,106.08,27568,292649847.850,0.11,0.17,0.177,12.80
2024-10-11,106.346,106.306,106.346,106.258,33359,354586562.500,0.08,0.1,0.110,15.49
2024-10-14,106.322,106.32,106.379,106.305,65746,699209569.100,0.07,0.01,0.014,30.52
2024-10-15,106.339,106.388,106.388,106.338,42100,447720242.500,0.05,0.06,0.068,19.54
2024-10-16,106.391,106.362,106.4,106.362,26809,285183654.900,0.04,-0.02,-0.026,12.45
2024-10-17,106.336,106.396,106.417,106.336,34793,370151576.500,0.08,0.03,0.034,16.15
2024-10-18,106.445,106.382,106.466,106.352,12227,130082984.190,0.11,-0.01,-0.014,5.68
2024-10-21,106.35,106.373,106.389,106.35,80514,856478477.900,0.04,-0.01,-0.009,37.38
2024-10-22,106.373,106.335,106.382,106.331,44233,470451769.700,0.05,-0.04,-0.038,20.53
2024-10-23,106.334,106.215,106.334,106.185,41348,439168423.100,0.14,-0.11,-0.120,19.19
2024-10-24,106.246,106.276,106.292,106.246,46822,497604715.400,0.04,0.06,0.061,21.74
2024-10-25,106.271,106.27,106.276,106.24,27447,291631258.300,0.03,-0.01,-0.006,12.74
2024-10-28,106.303,106.29,106.337,106.28,40355,428987254.410,0.05,0.02,0.020,18.73
2024-10-29,106.311,106.35,106.353,106.3,44753,475813045.800,0.05,0.06,0.060,20.77
2024-10-30,106.435,106.354,106.435,106.341,26056,277176145.300,0.09,0.0,0.004,12.10
2024-10-31,106.354,106.393,106.402,106.354,18404,195779215.500,0.05,0.04,0.039,8.54
2024-11-01,106.395,106.484,106.495,106.395,10977,116863038.900,0.09,0.09,0.091,5.10
2024-11-04,106.485,106.499,106.513,106.469,47622,507157721.000,0.04,0.01,0.015,22.11
2024-11-05,106.499,106.484,106.499,106.46,47479,505563675.700,0.04,-0.01,-0.015,22.04
2024-11-06,106.455,106.48,106.515,106.455,33370,355372895.700,0.06,0.0,-0.004,15.49
2024-11-07,106.5,106.517,106.563,106.5,55746,593890178.800,0.06,0.03,0.037,25.88
2024-11-08,106.517,106.535,106.545,106.501,47395,504938254.700,0.04,0.02,0.018,22.00
2024-11-11,106.51,106.547,106.564,106.51,33432,356225728.110,0.05,0.01,0.012,15.52
2024-11-12,106.549,106.576,106.597,106.549,28586,304664891.300,0.05,0.03,0.029,13.27
2024-11-13,106.576,106.573,106.595,106.568,27453,292576091.900,0.03,0.0,-0.003,12.74
2024-11-14,106.572,106.572,106.586,106.551,36564,389635211.600,0.03,0.0,-0.001,16.97
2024-11-15,106.572,106.575,106.621,106.571,38429,409609583.800,0.05,0.0,0.003,17.84
2024-11-18,106.575,106.53,106.579,106.51,50347,536416590.310,0.06,-0.04,-0.045,23.37
2024-11-19,106.535,106.555,106.569,106.506,33715,359206923.700,0.06,0.02,0.025,15.65
2024-11-20,106.566,106.578,106.587,106.557,26596,283431429.700,0.03,0.02,0.023,12.35
2024-11-21,106.58,106.61,106.615,106.573,18436,196535311.100,0.04,0.03,0.032,8.56
2024-11-22,106.616,106.632,106.638,106.611,43737,466305468.396,0.03,0.02,0.022,20.30
2024-11-25,106.631,106.642,106.662,106.611,65300,696419336.100,0.05,0.01,0.010,30.31
2024-11-26,106.642,106.661,106.677,106.642,28733,306441828.200,0.03,0.02,0.019,13.34
2024-11-27,106.662,106.644,106.667,106.64,11301,120525390.000,0.03,-0.02,-0.017,5.25
2024-11-28,106.654,106.685,106.691,106.651,28876,308036648.397,0.04,0.04,0.041,13.40
2024-11-29,106.735,106.758,106.795,106.716,36594,390651708.800,0.07,0.07,0.073,16.99
2024-12-02,106.832,106.945,106.962,106.832,30823,329659359.500,0.12,0.18,0.187,14.31
2024-12-03,106.953,106.955,106.972,106.939,63369,677703338.500,0.03,0.01,0.010,29.42
2024-12-04,106.963,107.018,107.029,106.963,13214,141386949.500,0.06,0.06,0.063,6.13
2024-12-05,107.017,107.019,107.042,106.969,35984,385062491.200,0.07,0.0,0.001,16.70
2024-12-06,107.02,106.999,107.069,106.988,36562,391218907.600,0.08,-0.02,-0.020,16.97
2024-12-09,106.999,107.008,107.022,106.99,8263,88421535.100,0.03,0.01,0.009,3.84
2024-12-10,107.049,107.17,107.18,107.048,30797,330015522.900,0.12,0.15,0.162,14.30
2024-12-11,107.163,107.207,107.207,107.117,53516,573588869.100,0.08,0.03,0.037,24.84
2024-12-12,107.23,107.269,107.273,107.228,35743,383368409.500,0.04,0.06,0.062,16.59
2024-12-13,107.429,107.457,107.475,107.429,35134,377557165.400,0.04,0.18,0.188,16.31
2024-12-16,107.48,107.545,107.567,107.48,52450,564105989.596,0.08,0.08,0.088,24.35
2024-12-17,107.507,107.47,107.538,107.468,28137,302417983.600,0.07,-0.07,-0.075,13.06
